Object ID,Launch Date,Mass (kg),Dimensions (m),Orbital Altitude (km),Orbital Inclination (degrees),Orbital Eccentricity,Velocity (km/s),Material Type,Collision Probability,Decay Date,Operational Status,Risk Factor,Region of Orbit
D1,2022-02-12,4660.83,0.8x4.0x1.0,6081.0,123.99,0.0755,4.12,Aluminum,0.0153,,Active,High,MEO
D2,1969-01-06,725.07,1.1x1.3x2.9,28712.5,116.47,0.0586,6.47,Polymer,0.0858,1998-06-20,Active,Medium,MEO
D3,1978-07-28,8487.14,2.7x1.5x3.0,33244.61,8.54,0.0204,2.3,Composite,0.0347,1970-10-19,Fragmented,Low,MEO
D4,2023-06-27,9637.32,3.8x4.7x1.3,12595.5,110.19,0.0782,4.71,Polymer,0.0457,,Fragmented,Low,MEO
D5,2003-04-01,4014.62,1.5x1.0x4.5,4746.72,34.18,0.0292,6.02,Polymer,0.0948,2035-12-10,Inactive,Low,MEO
D6,1961-01-15,674.1,0.8x2.4x2.2,22569.46,2.0,0.0165,7.72,Titanium,0.0662,2048-06-05,Inactive,Low,MEO
D7,2016-11-10,8007.65,1.5x4.0x2.1,32875.27,64.82,0.0392,7.22,Steel,0.0778,2003-10-19,Fragmented,Low,MEO
D8,1986-06-16,7191.64,1.4x4.7x2.3,10990.98,31.79,0.0337,5.91,Composite,0.0511,1969-03-13,Inactive,High,MEO
D9,2007-06-01,1051.02,1.0x0.8x3.6,14069.98,47.82,0.0648,5.77,Polymer,0.0484,2017-02-09,Inactive,Medium,MEO
D10,1989-08-27,3488.26,2.6x4.1x1.7,24389.5,5.79,0.0389,3.98,Composite,0.0412,2016-09-14,Active,Medium,MEO
D11,2004-05-30,6508.07,3.7x4.1x1.9,8583.32,152.07,0.0562,2.2,Aluminum,0.0136,2037-04-22,Inactive,High,MEO
D12,1998-05-15,9940.27,1.3x1.2x2.6,24623.26,162.72,0.0878,6.61,Titanium,0.0325,2026-10-12,Fragmented,High,MEO
D13,1978-06-27,4360.47,3.0x3.5x0.4,16982.98,174.8,0.0992,3.74,Steel,0.091,,Fragmented,Medium,MEO
D14,1997-09-10,3800.31,2.8x3.9x3.8,24865.61,101.49,0.0749,2.93,Aluminum,0.0779,1971-09-20,Inactive,Medium,MEO
D15,1997-12-21,3184.57,2.7x1.8x3.9,9691.3,66.14,0.0287,3.62,Steel,0.0294,1979-03-22,Active,Low,MEO
D16,1989-11-06,5017.37,4.9x0.3x0.9,4594.78,48.41,0.0163,3.18,Aluminum,0.0342,2038-11-19,Active,High,MEO
D17,1974-03-27,6437.46,2.8x0.2x1.5,25174.95,13.71,0.0921,7.4,Steel,0.0332,,Active,Medium,MEO
D18,1994-10-26,572.04,4.0x0.5x4.5,30367.87,74.65,0.049,4.45,Steel,0.0027,2032-08-20,Fragmented,Medium,MEO
D19,1979-11-20,5191.31,4.7x1.4x3.9,29052.7,158.88,0.0106,2.2,Polymer,0.0942,2019-05-05,Active,Low,MEO
D20,1989-05-05,3826.94,0.2x3.7x4.5,10806.98,167.83,0.0194,3.02,Polymer,0.0671,2038-09-18,Fragmented,Medium,MEO
D21,1970-12-21,1944.83,0.9x1.3x2.1,2878.99,175.06,0.0876,3.6,Titanium,0.0699,2003-11-02,Active,Medium,MEO
D22,1999-08-21,8560.24,0.6x3.0x4.1,11819.85,156.16,0.0333,4.91,Steel,0.0348,1971-12-07,Active,High,MEO
D23,2020-03-14,9261.08,1.5x0.9x3.4,4360.02,167.5,0.0558,6.5,Composite,0.0848,2018-11-26,Active,Low,MEO
D24,1973-09-12,6267.13,3.4x4.7x1.4,18811.07,164.82,0.0959,6.97,Aluminum,0.0944,1977-12-11,Active,Low,MEO
D25,1996-06-11,2874.82,4.5x1.7x0.2,1515.42,119.85,0.0851,4.03,Aluminum,0.0272,1959-03-15,Inactive,High,LEO
D26,1958-12-16,1397.54,3.3x2.2x4.8,8929.01,45.85,0.0325,7.83,Polymer,0.0296,,Active,Low,MEO
D27,1972-05-27,7852.15,5.0x4.7x2.4,30285.75,16.88,0.0944,2.32,Steel,0.0559,1958-05-07,Inactive,Low,MEO
D28,1999-04-11,6731.22,0.3x3.8x3.6,22262.63,61.96,0.0217,2.83,Composite,0.0132,2021-06-20,Inactive,Medium,MEO
D29,1958-04-12,4678.57,4.3x4.8x2.9,27740.83,141.84,0.003,5.61,Titanium,0.0964,2034-11-10,Fragmented,Low,MEO
D30,1976-01-18,3646.1,2.2x1.5x0.8,31118.02,41.13,0.0488,2.08,Steel,0.0792,1985-05-17,Active,Medium,MEO
D31,2008-10-23,8192.45,2.9x1.3x4.3,27417.59,9.33,0.0473,6.91,Composite,0.0203,2012-08-25,Fragmented,Medium,MEO
D32,2013-09-20,1610.4,4.4x2.0x0.4,29314.48,121.41,0.0448,4.25,Composite,0.0101,1982-07-03,Active,Medium,MEO
D33,1968-08-24,7683.29,1.8x1.6x0.1,27963.17,128.14,0.0086,4.72,Polymer,0.0281,1965-04-28,Inactive,Medium,MEO
D34,1964-01-08,4080.3,1.1x3.1x2.3,33786.45,43.65,0.082,5.95,Composite,0.093,2011-06-07,Inactive,Medium,MEO
D35,1960-05-20,98.86,3.3x1.0x2.8,20943.5,140.42,0.0147,2.81,Titanium,0.0356,1970-01-11,Active,Medium,MEO
D36,1972-02-11,8523.49,0.9x1.0x4.1,20863.05,86.57,0.0213,6.96,Aluminum,0.0531,2029-10-08,Inactive,High,MEO
D37,1982-11-07,8997.89,4.4x3.9x4.1,9989.58,18.88,0.0099,6.32,Steel,0.055,,Inactive,Medium,MEO
D38,1986-08-13,4056.5,1.4x4.1x1.5,4050.66,178.53,0.0551,5.66,Polymer,0.0513,2001-08-21,Active,High,MEO
D39,1977-10-14,2908.0,1.6x2.5x1.0,25286.35,0.06,0.0371,5.47,Aluminum,0.0825,1980-03-12,Inactive,Medium,MEO
D40,1967-11-24,4699.23,3.1x2.3x3.2,32404.35,66.71,0.0842,4.51,Polymer,0.0206,2051-01-13,Active,Low,MEO
D41,2000-08-14,89.35,4.7x4.1x4.2,19043.95,132.76,0.0109,7.21,Composite,0.0798,2002-01-19,Active,Medium,MEO
